# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
1D7EB;0039;(𝟫) (9);(MATHEMATICAL SANS-SERIF DIGIT NINE) (DIGIT NINE)
1D7F5;0039;(𝟵) (9);(MATHEMATICAL SANS-SERIF BOLD DIGIT NINE) (DIGIT NINE)
1D7FF;0039;(𝟿) (9);(MATHEMATICAL MONOSPACE DIGIT NINE) (DIGIT NINE)
1F10A;0039;(🄊) (9);(DIGIT NINE COMMA) (DIGIT NINE)
2079;0039;(⁹) (9);(SUPERSCRIPT NINE) (DIGIT NINE)
2089;0039;(₉) (9);(SUBSCRIPT NINE) (DIGIT NINE)
2468;0039;(⑨) (9);(CIRCLED DIGIT NINE) (DIGIT NINE)
2490;0039 002E;(⒐) (9.);(DIGIT NINE FULL STOP) (DIGIT NINE  FULL STOP)
2CCA;0039;(Ⳋ) (9);(COPTIC CAPITAL LETTER DIALECT-P HORI) (DIGIT NINE)
A76E;0039;(Ꝯ) (9);(LATIN CAPITAL LETTER CON) (DIGIT NINE)
FF19;0039;(９) (9);(FULLWIDTH DIGIT NINE) (DIGIT NINE)
02D0;003A;(ː) (:);(MODIFIER LETTER TRIANGULAR COLON) (COLON)
02F8;003A;(˸) (:);(MODIFIER LETTER RAISED COLON) (COLON)
0589;003A;(։) (:);(ARMENIAN FULL STOP) (COLON)
05C3;003A;(׃) (:);(HEBREW PUNCTUATION SOF PASUQ) (COLON)
0703;003A;(܃) (:);(SYRIAC SUPRALINEAR COLON) (COLON)
0704;003A;(܄) (:);(SYRIAC SUBLINEAR COLON) (COLON)
1803;003A;(᠃) (:);(MONGOLIAN FULL STOP) (COLON)
1809;003A;(᠉) (:);(MONGOLIAN MANCHU FULL STOP) (COLON)
205A;003A;(⁚) (:);(TWO DOT PUNCTUATION) (COLON)
2236;003A;(∶) (:);(RATIO) (COLON)
2A74;003A 003A 003D;(⩴) (::=);(DOUBLE COLON EQUAL) (COLON  COLON  EQUALS SIGN)
A4FD;003A;(ꓽ) (:);(LISU LETTER TONE MYA JEU) (COLON)
A789;003A;(꞉) (:);(MODIFIER LETTER COLON) (COLON)
FE30;003A;(︰) (:);(PRESENTATION FORM FOR VERTICAL TWO DOT LEADER) (COLON)
FE55;003A;(﹕) (:);(SMALL COLON) (COLON)
FF1A;003A;(：) (:);(FULLWIDTH COLON) (COLON)
037E;003B;(;) (;);(GREEK QUESTION MARK) (SEMICOLON)
061B;003B;(؛) (;);(ARABIC SEMICOLON) (SEMICOLON)
FE54;003B;(﹔) (;);(SMALL SEMICOLON) (SEMICOLON)
FF1B;003B;(；) (;);(FULLWIDTH SEMICOLON) (SEMICOLON)
02C2;003C;(˂) (<);(MODIFIER LETTER LEFT ARROWHEAD) (LESS-THAN SIGN)
2039;003C;(‹) (<);(SINGLE LEFT-POINTING ANGLE QUOTATION MARK) (LESS-THAN SIGN)
2329;003C;(〈) (<);(LEFT-POINTING ANGLE BRACKET) (LESS-THAN SIGN)
276E;003C;(❮) (<);(HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT) (LESS-THAN SIGN)
3008;003C;(〈) (<);(LEFT ANGLE BRACKET) (LESS-THAN SIGN)
FE64;003C;(﹤) (<);(SMALL LESS-THAN SIGN) (LESS-THAN SIGN)
FF1C;003C;(＜) (<);(FULLWIDTH LESS-THAN SIGN) (LESS-THAN SIGN)
207C;003D;(⁼) (=);(SUPERSCRIPT EQUALS SIGN) (EQUALS SIGN)
208C;003D;(₌) (=);(SUBSCRIPT EQUALS SIGN) (EQUALS SIGN)
2261;003D;(≡) (=);(IDENTICAL TO) (EQUALS SIGN)
2A66;003D;(⩦) (=);(EQUALS SIGN WITH DOT BELOW) (EQUALS SIGN)
2A75;003D 003D;(⩵) (==);(TWO CONSECUTIVE EQUALS SIGNS) (EQUALS SIGN  EQUALS SIGN)
2A76;003D 003D 003D;(⩶) (===);(THREE CONSECUTIVE EQUALS SIGNS) (EQUALS SIGN  EQUALS SIGN  EQUALS SIGN)
2A77;003D;(⩷) (=);(EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW) (EQUALS SIGN)
2AAE;003D;(⪮) (=);(EQUALS SIGN WITH BUMPY ABOVE) (EQUALS SIGN)
A4FF;003D;(꓿) (=);(LISU PUNCTUATION FULL STOP) (EQUALS SIGN)
FE66;003D;(﹦) (=);(SMALL EQUALS SIGN) (EQUALS SIGN)
FF1D;003D;(＝) (=);(FULLWIDTH EQUALS SIGN) (EQUALS SIGN)
02C3;003E;(˃) (>);(MODIFIER LETTER RIGHT ARROWHEAD) (GREATER-THAN SIGN)
203A;003E;(›) (>);(SINGLE RIGHT-POINTING ANGLE QUOTATION MARK) (GREATER-THAN SIGN)
232A;003E;(〉) (>);(RIGHT-POINTING ANGLE BRACKET) (GREATER-THAN SIGN)
276F;003E;(❯) (>);(HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT) (GREATER-THAN SIGN)
3009;003E;(〉) (>);(RIGHT ANGLE BRACKET) (GREATER-THAN SIGN)
FE65;003E;(﹥) (>);(SMALL GREATER-THAN SIGN) (GREATER-THAN SIGN)
FF1E;003E;(＞) (>);(FULLWIDTH GREATER-THAN SIGN) (GREATER-THAN SIGN)
0241;003F;(Ɂ) (?);(LATIN CAPITAL LETTER GLOTTAL STOP) (QUESTION MARK)
0294;003F;(ʔ) (?);(LATIN LETTER GLOTTAL STOP) (QUESTION MARK)
061F;003F;(؟) (?);(ARABIC QUESTION MARK) (QUESTION MARK)
097D;003F;(ॽ) (?);(DEVANAGARI LETTER GLOTTAL STOP) (QUESTION MARK)
2047;003F 003F;(⁇) (??);(DOUBLE QUESTION MARK) (QUESTION MARK  QUESTION MARK)
2048;003F 0021;(⁈) (?!);(QUESTION EXCLAMATION MARK) (QUESTION MARK  EXCLAMATION MARK)
FE56;003F;(﹖) (?);(SMALL QUESTION MARK) (QUESTION MARK)
FF1F;003F;(？) (?);(FULLWIDTH QUESTION MARK) (QUESTION MARK)
FE6B;0040;(﹫) (@);(SMALL COMMERCIAL AT) (COMMERCIAL AT)
FF20;0040;(＠) (@);(FULLWIDTH COMMERCIAL AT) (COMMERCIAL AT)
00C6;0041 0045;(Æ) (AE);(LATIN CAPITAL LETTER AE) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER E)
0391;0041;(Α) (A);(GREEK CAPITAL LETTER ALPHA) (LATIN CAPITAL LETTER A)
0410;0041;(А) (A);(CYRILLIC CAPITAL LETTER A) (LATIN CAPITAL LETTER A)
04D4;0041 0045;(Ӕ) (AE);(CYRILLIC CAPITAL LIGATURE A IE) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER E)
13AA;0041;(Ꭺ) (A);(CHEROKEE LETTER GO) (LATIN CAPITAL LETTER A)
15C5;0041;(ᗅ) (A);(CANADIAN SYLLABICS CARRIER GHO) (LATIN CAPITAL LETTER A)
1D2C;0041;(ᴬ) (A);(MODIFIER LETTER CAPITAL A) (LATIN CAPITAL LETTER A)
1D2D;0041 0045;(ᴭ) (AE);(MODIFIER LETTER CAPITAL AE) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER E)
1D400;0041;(𝐀) (A);(MATHEMATICAL BOLD CAPITAL A) (LATIN CAPITAL LETTER A)
1D434;0041;(𝐴) (A);(MATHEMATICAL ITALIC CAPITAL A) (LATIN CAPITAL LETTER A)
1D468;0041;(𝑨) (A);(MATHEMATICAL BOLD ITALIC CAPITAL A) (LATIN CAPITAL LETTER A)
1D49C;0041;(𝒜) (A);(MATHEMATICAL SCRIPT CAPITAL A) (LATIN CAPITAL LETTER A)
1D4D0;0041;(𝓐) (A);(MATHEMATICAL BOLD SCRIPT CAPITAL A) (LATIN CAPITAL LETTER A)
1D504;0041;(𝔄) (A);(MATHEMATICAL FRAKTUR CAPITAL A) (LATIN CAPITAL LETTER A)
1D538;0041;(𝔸) (A);(MATHEMATICAL DOUBLE-STRUCK CAPITAL A) (LATIN CAPITAL LETTER A)
1D56C;0041;(𝕬) (A);(MATHEMATICAL BOLD FRAKTUR CAPITAL A) (LATIN CAPITAL LETTER A)
1D5A0;0041;(𝖠) (A);(MATHEMATICAL SANS-SERIF CAPITAL A) (LATIN CAPITAL LETTER A)
1D5D4;0041;(𝗔) (A);(MATHEMATICAL SANS-SERIF BOLD CAPITAL A) (LATIN CAPITAL LETTER A)
1D608;0041;(𝘈) (A);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL A) (LATIN CAPITAL LETTER A)
1D63C;0041;(𝘼) (A);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A) (LATIN CAPITAL LETTER A)
1D670;0041;(𝙰) (A);(MATHEMATICAL MONOSPACE CAPITAL A) (LATIN CAPITAL LETTER A)
1D6A8;0041;(𝚨) (A);(MATHEMATICAL BOLD CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D6E2;0041;(𝛢) (A);(MATHEMATICAL ITALIC CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D71C;0041;(𝜜) (A);(MATHEMATICAL BOLD ITALIC CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D756;0041;(𝝖) (A);(MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D790;0041;(𝞐) (A);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
24B6;0041;(Ⓐ) (A);(CIRCLED LATIN CAPITAL LETTER A) (LATIN CAPITAL LETTER A)
3373;0041 0055;(㍳) (AU);(SQUARE AU) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER U)
33DF;0041 002F 006D;(㏟) (A/m);(SQUARE A OVER M) (LATIN CAPITAL LETTER A  SOLIDUS  LATIN SMALL LETTER M)
A4EE;0041;(ꓮ) (A);(LISU LETTER A) (LATIN CAPITAL LETTER A)
A732;0041 0041;(Ꜳ) (AA);(LATIN CAPITAL LETTER AA) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER A)
A734;0041 004F;(Ꜵ) (AO);(LATIN CAPITAL LETTER AO) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER O)
A736;0041 0055;(Ꜷ) (AU);(LATIN CAPITAL LETTER AU) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER U)
A738;0041 0056;(Ꜹ) (AV);(LATIN CAPITAL LETTER AV) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER V)
A73A;0041 0056;(Ꜻ) (AV);(LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER V)
A73C;0041 0059;(Ꜽ) (AY);(LATIN CAPITAL LETTER AY) (LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER Y)
FF21;0041;(Ａ) (A);(FULLWIDTH LATIN CAPITAL LETTER A) (LATIN CAPITAL LETTER A)
0181;0042;(Ɓ) (B);(LATIN CAPITAL LETTER B WITH HOOK) (LATIN CAPITAL LETTER B)
0392;0042;(Β) (B);(GREEK CAPITAL LETTER BETA) (LATIN CAPITAL LETTER B)
0412;0042;(В) (B);(CYRILLIC CAPITAL LETTER VE) (LATIN CAPITAL LETTER B)
13F4;0042;(Ᏼ) (B);(CHEROKEE LETTER YV) (LATIN CAPITAL LETTER B)
15F7;0042;(ᗷ) (B);(CANADIAN SYLLABICS CARRIER KHE) (LATIN CAPITAL LETTER B)
1D2E;0042;(ᴮ) (B);(MODIFIER LETTER CAPITAL B) (LATIN CAPITAL LETTER B)
1D401;0042;(𝐁) (B);(MATHEMATICAL BOLD CAPITAL B) (LATIN CAPITAL LETTER B)
1D435;0042;(𝐵) (B);(MATHEMATICAL ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D469;0042;(𝑩) (B);(MATHEMATICAL BOLD ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D4D1;0042;(𝓑) (B);(MATHEMATICAL BOLD SCRIPT CAPITAL B) (LATIN CAPITAL LETTER B)
1D505;0042;(𝔅) (B);(MATHEMATICAL FRAKTUR CAPITAL B) (LATIN CAPITAL LETTER B)
1D539;0042;(𝔹) (B);(MATHEMATICAL DOUBLE-STRUCK CAPITAL B) (LATIN CAPITAL LETTER B)
1D56D;0042;(𝕭) (B);(MATHEMATICAL BOLD FRAKTUR CAPITAL B) (LATIN CAPITAL LETTER B)
1D5A1;0042;(𝖡) (B);(MATHEMATICAL SANS-SERIF CAPITAL B) (LATIN CAPITAL LETTER B)
1D5D5;0042;(𝗕) (B);(MATHEMATICAL SANS-SERIF BOLD CAPITAL B) (LATIN CAPITAL LETTER B)
1D609;0042;(𝘉) (B);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D63D;0042;(𝘽) (B);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D671;0042;(𝙱) (B);(MATHEMATICAL MONOSPACE CAPITAL B) (LATIN CAPITAL LETTER B)
1D6A9;0042;(𝚩) (B);(MATHEMATICAL BOLD CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D6E3;0042;(𝛣) (B);(MATHEMATICAL ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D71D;0042;(𝜝) (B);(MATHEMATICAL BOLD ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D757;0042;(𝝗) (B);(MATHEMATICAL SANS-SERIF BOLD CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D791;0042;(𝞑) (B);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
212C;0042;(ℬ) (B);(SCRIPT CAPITAL B) (LATIN CAPITAL LETTER B)
24B7;0042;(Ⓑ) (B);(CIRCLED LATIN CAPITAL LETTER B) (LATIN CAPITAL LETTER B)
33C3;0042 0071;(㏃) (Bq);(SQUARE BQ) (LATIN CAPITAL LETTER B  LATIN SMALL LETTER Q)
A4D0;0042;(ꓐ) (B);(LISU LETTER BA) (LATIN CAPITAL LETTER B)
FF22;0042;(Ｂ) (B);(FULLWIDTH LATIN CAPITAL LETTER B) (LATIN CAPITAL LETTER B)
0187;0043;(Ƈ) (C);(LATIN CAPITAL LETTER C WITH HOOK) (LATIN CAPITAL LETTER C)
03F9;0043;(Ϲ) (C);(GREEK CAPITAL LUNATE SIGMA SYMBOL) (LATIN CAPITAL LETTER C)
0421;0043;(С) (C);(CYRILLIC CAPITAL LETTER ES) (LATIN CAPITAL LETTER C)
04AA;0043;(Ҫ) (C);(CYRILLIC CAPITAL LETTER ES WITH DESCENDER) (LATIN CAPITAL LETTER C)
13DF;0043;(Ꮯ) (C);(CHEROKEE LETTER TLI) (LATIN CAPITAL LETTER C)
1D402;0043;(𝐂) (C);(MATHEMATICAL BOLD CAPITAL C) (LATIN CAPITAL LETTER C)
1D436;0043;(𝐶) (C);(MATHEMATICAL ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D46A;0043;(𝑪) (C);(MATHEMATICAL BOLD ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D49E;0043;(𝒞) (C);(MATHEMATICAL SCRIPT CAPITAL C) (LATIN CAPITAL LETTER C)
1D4D2;0043;(𝓒) (C);(MATHEMATICAL BOLD SCRIPT CAPITAL C) (LATIN CAPITAL LETTER C)
1D56E;0043;(𝕮) (C);(MATHEMATICAL BOLD FRAKTUR CAPITAL C) (LATIN CAPITAL LETTER C)
1D5A2;0043;(𝖢) (C);(MATHEMATICAL SANS-SERIF CAPITAL C) (LATIN CAPITAL LETTER C)
1D5D6;0043;(𝗖) (C);(MATHEMATICAL SANS-SERIF BOLD CAPITAL C) (LATIN CAPITAL LETTER C)
1D60A;0043;(𝘊) (C);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D63E;0043;(𝘾) (C);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D672;0043;(𝙲) (C);(MATHEMATICAL MONOSPACE CAPITAL C) (LATIN CAPITAL LETTER C)
2102;0043;(ℂ) (C);(DOUBLE-STRUCK CAPITAL C) (LATIN CAPITAL LETTER C)
212D;0043;(ℭ) (C);(BLACK-LETTER CAPITAL C) (LATIN CAPITAL LETTER C)
216D;0043;(Ⅽ) (C);(ROMAN NUMERAL ONE HUNDRED) (LATIN CAPITAL LETTER C)
24B8;0043;(Ⓒ) (C);(CIRCLED LATIN CAPITAL LETTER C) (LATIN CAPITAL LETTER C)
2CA4;0043;(Ⲥ) (C);(COPTIC CAPITAL LETTER SIMA) (LATIN CAPITAL LETTER C)
33C6;0043 002F 006B 0067;(㏆) (C/kg);(SQUARE C OVER KG) (LATIN CAPITAL LETTER C  SOLIDUS  LATIN SMALL LETTER K  LATIN SMALL LETTER G)
33C7;0043 006F;(㏇) (Co);(SQUARE CO) (LATIN CAPITAL LETTER C  LATIN SMALL LETTER O)
A4DA;0043;(ꓚ) (C);(LISU LETTER CA) (LATIN CAPITAL LETTER C)
FF23;0043;(Ｃ) (C);(FULLWIDTH LATIN CAPITAL LETTER C) (LATIN CAPITAL LETTER C)
00D0;0044;(Ð) (D);(LATIN CAPITAL LETTER ETH) (LATIN CAPITAL LETTER D)
0110;0044;(Đ) (D);(LATIN CAPITAL LETTER D WITH STROKE) (LATIN CAPITAL LETTER D)
0189;0044;(Ɖ) (D);(LATIN CAPITAL LETTER AFRICAN D) (LATIN CAPITAL LETTER D)
018A;0044;(Ɗ) (D);(LATIN CAPITAL LETTER D WITH HOOK) (LATIN CAPITAL LETTER D)
01C4;0044 005A;(Ǆ) (DZ);(LATIN CAPITAL LETTER DZ WITH CARON) (LATIN CAPITAL LETTER D  LATIN CAPITAL LETTER Z)
01C5;0044 007A;(ǅ) (Dz);(LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON) (LATIN CAPITAL LETTER D  LATIN SMALL LETTER Z)
01F1;0044 005A;(Ǳ) (DZ);(LATIN CAPITAL LETTER DZ) (LATIN CAPITAL LETTER D  LATIN CAPITAL LETTER Z)
01F2;0044 007A;(ǲ) (Dz);(LATIN CAPITAL LETTER D WITH SMALL LETTER Z) (LATIN CAPITAL LETTER D  LATIN SMALL LETTER Z)
13A0;0044;(Ꭰ) (D);(CHEROKEE LETTER A) (LATIN CAPITAL LETTER D)
15DE;0044;(ᗞ) (D);(CANADIAN SYLLABICS CARRIER THE) (LATIN CAPITAL LETTER D)
15EA;0044;(ᗪ) (D);(CANADIAN SYLLABICS CARRIER PE) (LATIN CAPITAL LETTER D)
1D30;0044;(ᴰ) (D);(MODIFIER LETTER CAPITAL D) (LATIN CAPITAL LETTER D)
1D403;0044;(𝐃) (D);(MATHEMATICAL BOLD CAPITAL D) (LATIN CAPITAL LETTER D)
1D437;0044;(𝐷) (D);(MATHEMATICAL ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D46B;0044;(𝑫) (D);(MATHEMATICAL BOLD ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D49F;0044;(𝒟) (D);(MATHEMATICAL SCRIPT CAPITAL D) (LATIN CAPITAL LETTER D)
1D4D3;0044;(𝓓) (D);(MATHEMATICAL BOLD SCRIPT CAPITAL D) (LATIN CAPITAL LETTER D)
1D507;0044;(𝔇) (D);(MATHEMATICAL FRAKTUR CAPITAL D) (LATIN CAPITAL LETTER D)
1D53B;0044;(𝔻) (D);(MATHEMATICAL DOUBLE-STRUCK CAPITAL D) (LATIN CAPITAL LETTER D)
1D56F;0044;(𝕯) (D);(MATHEMATICAL BOLD FRAKTUR CAPITAL D) (LATIN CAPITAL LETTER D)
1D5A3;0044;(𝖣) (D);(MATHEMATICAL SANS-SERIF CAPITAL D) (LATIN CAPITAL LETTER D)
1D5D7;0044;(𝗗) (D);(MATHEMATICAL SANS-SERIF BOLD CAPITAL D) (LATIN CAPITAL LETTER D)
1D60B;0044;(𝘋) (D);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D63F;0044;(𝘿) (D);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D673;0044;(𝙳) (D);(MATHEMATICAL MONOSPACE CAPITAL D) (LATIN CAPITAL LETTER D)
2145;0044;(ⅅ) (D);(DOUBLE-STRUCK ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
216E;0044;(Ⅾ) (D);(ROMAN NUMERAL FIVE HUNDRED) (LATIN CAPITAL LETTER D)
24B9;0044;(Ⓓ) (D);(CIRCLED LATIN CAPITAL LETTER D) (LATIN CAPITAL LETTER D)
A4D3;0044;(ꓓ) (D);(LISU LETTER DA) (LATIN CAPITAL LETTER D)
FF24;0044;(Ｄ) (D);(FULLWIDTH LATIN CAPITAL LETTER D) (LATIN CAPITAL LETTER D)
0395;0045;(Ε) (E);(GREEK CAPITAL LETTER EPSILON) (LATIN CAPITAL LETTER E)
0415;0045;(Е) (E);(CYRILLIC CAPITAL LETTER IE) (LATIN CAPITAL LETTER E)
13AC;0045;(Ꭼ) (E);(CHEROKEE LETTER GV) (LATIN CAPITAL LETTER E)
1D31;0045;(ᴱ) (E);(MODIFIER LETTER CAPITAL E) (LATIN CAPITAL LETTER E)
1D404;0045;(𝐄) (E);(MATHEMATICAL BOLD CAPITAL E) (LATIN CAPITAL LETTER E)
1D438;0045;(𝐸) (E);(MATHEMATICAL ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D46C;0045;(𝑬) (E);(MATHEMATICAL BOLD ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D4D4;0045;(𝓔) (E);(MATHEMATICAL BOLD SCRIPT CAPITAL E) (LATIN CAPITAL LETTER E)
1D508;0045;(𝔈) (E);(MATHEMATICAL FRAKTUR CAPITAL E) (LATIN CAPITAL LETTER E)
1D53C;0045;(𝔼) (E);(MATHEMATICAL DOUBLE-STRUCK CAPITAL E) (LATIN CAPITAL LETTER E)
1D570;0045;(𝕰) (E);(MATHEMATICAL BOLD FRAKTUR CAPITAL E) (LATIN CAPITAL LETTER E)
1D5A4;0045;(𝖤) (E);(MATHEMATICAL SANS-SERIF CAPITAL E) (LATIN CAPITAL LETTER E)
1D5D8;0045;(𝗘) (E);(MATHEMATICAL SANS-SERIF BOLD CAPITAL E) (LATIN CAPITAL LETTER E)
1D60C;0045;(𝘌) (E);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D640;0045;(𝙀) (E);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D674;0045;(𝙴) (E);(MATHEMATICAL MONOSPACE CAPITAL E) (LATIN CAPITAL LETTER E)
1D6AC;0045;(𝚬) (E);(MATHEMATICAL BOLD CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D6E6;0045;(𝛦) (E);(MATHEMATICAL ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D720;0045;(𝜠) (E);(MATHEMATICAL BOLD ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D75A;0045;(𝝚) (E);(MATHEMATICAL SANS-SERIF BOLD CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D794;0045;(𝞔) (E);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
2130;0045;(ℰ) (E);(SCRIPT CAPITAL E) (LATIN CAPITAL LETTER E)
22FF;0045;(⋿) (E);(Z NOTATION BAG MEMBERSHIP) (LATIN CAPITAL LETTER E)
24BA;0045;(Ⓔ) (E);(CIRCLED LATIN CAPITAL LETTER E) (LATIN CAPITAL LETTER E)
2D39;0045;(ⴹ) (E);(TIFINAGH LETTER YADD) (LATIN CAPITAL LETTER E)
A4F0;0045;(ꓰ) (E);(LISU LETTER E) (LATIN CAPITAL LETTER E)
FF25;0045;(Ｅ) (E);(FULLWIDTH LATIN CAPITAL LETTER E) (LATIN CAPITAL LETTER E)
0191;0046;(Ƒ) (F);(LATIN CAPITAL LETTER F WITH HOOK) (LATIN CAPITAL LETTER F)
03DC;0046;(Ϝ) (F);(GREEK LETTER DIGAMMA) (LATIN CAPITAL LETTER F)
15B4;0046;(ᖴ) (F);(CANADIAN SYLLABICS BLACKFOOT WE) (LATIN CAPITAL LETTER F)
1D405;0046;(𝐅) (F);(MATHEMATICAL BOLD CAPITAL F) (LATIN CAPITAL LETTER F)
1D439;0046;(𝐹) (F);(MATHEMATICAL ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D46D;0046;(𝑭) (F);(MATHEMATICAL BOLD ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D4D5;0046;(𝓕) (F);(MATHEMATICAL BOLD SCRIPT CAPITAL F) (LATIN CAPITAL LETTER F)
1D509;0046;(𝔉) (F);(MATHEMATICAL FRAKTUR CAPITAL F) (LATIN CAPITAL LETTER F)
1D53D;0046;(𝔽) (F);(MATHEMATICAL DOUBLE-STRUCK CAPITAL F) (LATIN CAPITAL LETTER F)
1D571;0046;(𝕱) (F);(MATHEMATICAL BOLD FRAKTUR CAPITAL F) (LATIN CAPITAL LETTER F)
1D5A5;0046;(𝖥) (F);(MATHEMATICAL SANS-SERIF CAPITAL F) (LATIN CAPITAL LETTER F)
1D5D9;0046;(𝗙) (F);(MATHEMATICAL SANS-SERIF BOLD CAPITAL F) (LATIN CAPITAL LETTER F)
1D60D;0046;(𝘍) (F);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D641;0046;(𝙁) (F);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D675;0046;(𝙵) (F);(MATHEMATICAL MONOSPACE CAPITAL F) (LATIN CAPITAL LETTER F)
1D7CA;0046;(𝟊) (F);(MATHEMATICAL BOLD CAPITAL DIGAMMA) (LATIN CAPITAL LETTER F)
2131;0046;(ℱ) (F);(SCRIPT CAPITAL F) (LATIN CAPITAL LETTER F)
213B;0046 0041 0058;(℻) (FAX);(FACSIMILE SIGN) (LATIN CAPITAL LETTER F  LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER X)
24BB;0046;(Ⓕ) (F);(CIRCLED LATIN CAPITAL LETTER F) (LATIN CAPITAL LETTER F)
A4DD;0046;(ꓝ) (F);(LISU LETTER TSA) (LATIN CAPITAL LETTER F)
FF26;0046;(Ｆ) (F);(FULLWIDTH LATIN CAPITAL LETTER F) (LATIN CAPITAL LETTER F)
0193;0047;(Ɠ) (G);(LATIN CAPITAL LETTER G WITH HOOK) (LATIN CAPITAL LETTER G)
01E4;0047;(Ǥ) (G);(LATIN CAPITAL LETTER G WITH STROKE) (LATIN CAPITAL LETTER G)
050C;0047;(Ԍ) (G);(CYRILLIC CAPITAL LETTER KOMI SJE) (LATIN CAPITAL LETTER G)
13C0;0047;(Ꮐ) (G);(CHEROKEE LETTER NAH) (LATIN CAPITAL LETTER G)
